Date,Number_of_Insects,New_Catches
06-07-2024,0,0
07-07-2024,0,0
08-07-2024,0,0
09-07-2024,0,0
09-07-2024,,
10-07-2024,0,0
11-07-2024,0,0
12-07-2024,0,0
13-07-2024,0,0
14-07-2024,1,1
15-07-2024,1,0
16-07-2024,2,1
16-07-2024,,
17-07-2024,1,1
18-07-2024,1,0
19-07-2024,1,0
20-07-2024,1,0
20-07-2024,,
21-07-2024,1,1
22-07-2024,2,1
23-07-2024,0,0
24-07-2024,0,0
25-07-2024,1,1
26-07-2024,1,0
27-07-2024,1,0
28-07-2024,3,2
28-07-2024,,
29-07-2024,0,0
30-07-2024,0,0
31-07-2024,0,0
01-08-2024,0,0
02-08-2024,0,0
02-08-2024,,
03-08-2024,0,0
03-08-2024,,
04-08-2024,0,0
05-08-2024,0,0
06-08-2024,1,1
07-08-2024,1,0
08-08-2024,1,0
09-08-2024,1,0
09-08-2024,,
10-08-2024,0,0
11-08-2024,0,0
12-08-2024,0,0
13-08-2024,0,0
14-08-2024,0,0
15-08-2024,0,0
15-08-2024,,
16-08-2024,0,0
17-08-2024,0,0
18-08-2024,0,0
19-08-2024,0,0
20-08-2024,0,0
21-08-2024,0,0
21-08-2024,,
22-08-2024,0,0
23-08-2024,0,0
05-07-2024,0,0
06-07-2024,0,0
07-07-2024,0,0
08-07-2024,0,0
08-07-2024,,
09-07-2024,0,0
09-07-2024,,
11-07-2024,,
11-07-2024,0,0
12-07-2024,0,0
13-07-2024,0,0
14-07-2024,0,0
15-07-2024,0,0
16-07-2024,0,0
17-07-2024,0,0
18-07-2024,0,0
18-07-2024,,
19-07-2024,1,1
20-07-2024,2,1
21-07-2024,2,0
22-07-2024,2,0
23-07-2024,2,0
23-07-2024,,
24-07-2024,1,1
24-07-2024,,
25-07-2024,1,1
26-07-2024,1,0
27-07-2024,1,0
28-07-2024,0,0
28-07-2024,,
29-07-2024,0,0
30-07-2024,0,0
31-07-2024,0,0
01-08-2024,0,0
02-08-2024,0,0
03-08-2024,0,0
03-08-2024,,
04-08-2024,0,0
05-08-2024,0,0
06-08-2024,0,0
07-08-2024,0,0
08-08-2024,0,0
09-08-2024,0,0
09-08-2024,,
10-08-2024,0,0
11-08-2024,0,0
12-08-2024,0,0
13-08-2024,0,0
14-08-2024,0,0
15-08-2024,0,0
16-08-2024,0,0
17-08-2024,0,0
18-08-2024,0,0
18-08-2024,,
19-08-2024,0,0
20-08-2024,0,0
21-08-2024,0,0
22-08-2024,0,0
23-08-2024,1,1
30-07-2024,0,0
31-07-2024,0,0
01-08-2024,0,0
02-08-2024,0,0
03-08-2024,0,0
04-08-2024,0,0
06-08-2024,0,0
07-08-2024,0,0
07-08-2024,,
08-08-2024,0,0
09-08-2024,0,0
10-08-2024,0,0
11-08-2024,0,0
12-08-2024,0,0
12-08-2024,,
13-08-2024,0,0
14-08-2024,0,0
15-08-2024,0,0
16-08-2024,0,0
17-08-2024,1,1
18-08-2024,1,0
18-08-2024,,
19-08-2024,0,0
20-08-2024,4,4
21-08-2024,2,0
22-08-2024,4,2
23-08-2024,5,1
31-07-2024,0,0
01-08-2024,0,0
02-08-2024,0,0
03-08-2024,0,0
03-08-2024,,
04-08-2024,0,0
05-08-2024,0,0
06-08-2024,0,0
07-08-2024,0,0
08-08-2024,0,0
09-08-2024,0,0
10-08-2024,0,0
11-08-2024,0,0
11-08-2024,,
12-08-2024,0,0
13-08-2024,0,0
14-08-2024,0,0
15-08-2024,0,0
16-08-2024,0,0
17-08-2024,0,0
18-08-2024,1,1
18-08-2024,,
19-08-2024,0,0
20-08-2024,0,0
21-08-2024,0,0
22-08-2024,0,0
23-08-2024,0,0
17-08-2024,0,0
18-08-2024,0,0
19-08-2024,0,0
20-08-2024,1,1
21-08-2024,1,0
22-08-2024,2,1
23-08-2024,3,1
