DateTime,Numero di insetti,Nuove catture (per evento),Recensito,Evento
06.07.2024 06:01:00,0,0,Si,
07.07.2024 06:04:00,0,0,Si,
08.07.2024 06:03:00,0,0,Si,
09.07.2024 06:05:00,0,0,Si,
09.07.2024 06:13:59,,,Si,Cleaning
10.07.2024 06:03:00,0,0,Si,
11.07.2024 06:01:00,0,0,Si,
12.07.2024 06:05:00,0,0,Si,
13.07.2024 06:02:00,0,0,Si,
14.07.2024 06:01:00,1,1,Si,
15.07.2024 06:04:00,1,0,Si,
16.07.2024 06:03:00,2,1,Si,
16.07.2024 06:12:59,,,Si,Cleaning
17.07.2024 06:02:00,1,1,Si,
18.07.2024 06:01:00,1,0,Si,
19.07.2024 06:04:00,1,0,Si,
20.07.2024 06:02:00,1,0,Si,
20.07.2024 06:11:59,,,Si,Cleaning
21.07.2024 06:02:00,1,1,Si,
22.07.2024 06:00:00,2,1,Si,
23.07.2024 06:04:00,0,0,Si,
24.07.2024 06:02:00,0,0,Si,
25.07.2024 06:01:00,1,1,Si,
26.07.2024 06:01:00,1,0,Si,
27.07.2024 06:05:00,1,0,Si,
28.07.2024 06:03:00,3,2,Si,
28.07.2024 06:12:59,,,Si,Cleaning
29.07.2024 06:04:00,0,0,Si,
30.07.2024 06:02:00,0,0,Si,
31.07.2024 06:00:00,0,0,Si,
01.08.2024 06:04:00,0,0,Si,
02.08.2024 06:03:00,0,0,Si,
02.08.2024 06:12:59,,,Si,Cleaning
03.08.2024 06:03:00,0,0,Si,
03.08.2024 06:13:59,,,Si,Cleaning
04.08.2024 06:04:00,0,0,Si,
05.08.2024 06:01:00,0,0,Si,
06.08.2024 06:00:00,1,1,Si,
07.08.2024 06:04:00,1,0,Si,
08.08.2024 06:03:00,1,0,Si,
09.08.2024 06:01:00,1,0,Si,
09.08.2024 06:10:59,,,Si,Cleaning
10.08.2024 06:00:00,0,0,Si,
11.08.2024 06:04:00,0,0,Si,
12.08.2024 06:03:00,0,0,Si,
13.08.2024 06:03:00,0,0,Si,
14.08.2024 06:01:00,0,0,Si,
15.08.2024 06:00:00,0,0,Si,
15.08.2024 06:10:59,,,Si,Cleaning
16.08.2024 06:00:00,0,0,Si,
17.08.2024 06:04:00,0,0,Si,
18.08.2024 06:03:00,0,0,Si,
19.08.2024 06:02:00,0,0,Si,
20.08.2024 06:00:00,0,0,Si,
21.08.2024 06:03:00,0,0,Si,
21.08.2024 06:12:59,,,Si,Cleaning
22.08.2024 06:04:00,0,0,Si,
23.08.2024 06:03:00,0,0,Si,
